nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran
Bihun goreng Ayam,23800,Main Course,gurih asin savory bihun ayam goreng,Bakmiseafood99
Mie goreng Ayam,26600,Main Course,gurih asin savory mie ayam goreng,Bakmiseafood99
Nasi Goreng Ayam,26600,Main Course,gurih asin smoky nasi goreng ayam,Bakmiseafood99
Kwetiau goreng Baso,23800,Main Course,gurih asin smoky kwetiau bakso,Bakmiseafood99
Kwetiua goreng Ayam,23800,Main Course,gurih asin smoky kwetiau ayam,Bakmiseafood99
Cap cay Goreng,33300,Main Course,gurih asin savory sayur tumis,Bakmiseafood99
Mie goreng Baso,26600,Main Course,gurih asin savory mie bakso goreng,Bakmiseafood99
Nasi Goreng Sayur,23800,Main Course,gurih asin smoky nasi goreng sayur,Bakmiseafood99
Ayam goreng Mentega,38000,Main Course,gurih asin buttery ayam goreng,Bakmiseafood99
Kerang Ijo Saus Padang,35000,Main Course,gurih asin pedas kerang saus padang,Bakmiseafood99
Ayam Rica Rica,38000,Main Course,gurih asin pedas rempah ayam rica,Bakmiseafood99
Sapo Tahu Ayam,32000,Main Course,gurih asin savory ayam tahu kuah,Bakmiseafood99
Fuyung Hay Ayam,35000,Main Course,gurih asin manis telur ayam fuyunghai,Bakmiseafood99
Capcay Kuah Ayam,33300,Main Course,gurih asin hangat capcay ayam kuah,Bakmiseafood99
Kangkung Cah,23000,Main Course,gurih asin savory kangkung tumis,Bakmiseafood99
Cah Brokoli,23000,Main Course,gurih asin savory brokoli tumis,Bakmiseafood99
Cah Toge,20000,Main Course,gurih asin savory tauge tumis,Bakmiseafood99
Capcay goreng Seafood,40000,Main Course,gurih asin savory capcay seafood,Bakmiseafood99
Sapo Tahu Seafood,40000,Main Course,gurih asin savory seafood tahu kuah,Bakmiseafood99
Sapi SapoTahu,34000,Main Course,gurih asin savory sapi tahu kuah,Bakmiseafood99
Fuyung Hai Seafood,40000,Main Course,gurih asin manis seafood telur,Bakmiseafood99
Udang Sapo Tahu,35000,Main Course,gurih asin savory udang tahu kuah,Bakmiseafood99
Kangkung Cah Cumi,30000,Main Course,gurih asin savory kangkung cumi,Bakmiseafood99
Sop Ayam Kuah,32000,Main Course,gurih asin hangat ayam kuah,Bakmiseafood99
Sop Asparagus Ayam,33000,Main Course,gurih asin hangat asparagus ayam,Bakmiseafood99
Sop Asparagus Udang,30000,Main Course,gurih asin hangat asparagus udang,Bakmiseafood99
Mun Tahu,28000,Appetizer,gurih asin lembut tahu kuah,Bakmiseafood99
Tahu Tausi,25000,Appetizer,gurih asin fermentasi tahu tausi,Bakmiseafood99
Tahu Cah Pokcay,28000,Appetizer,gurih asin savory tahu pokcay,Bakmiseafood99
Capcay Kuah Seafood,40000,Main Course,gurih asin hangat capcay seafood,Bakmiseafood99
Nasi goreng Special,30000,Main Course,gurih asin smoky nasi goreng spesial,Bakmiseafood99
Nasi goreng Seafood,30000,Main Course,gurih asin savory nasi goreng seafood,Bakmiseafood99
Nasi goreng Kambing,30000,Main Course,gurih asin rempah nasi goreng kambing,Bakmiseafood99
Nasi Goreng Baso,26600,Main Course,gurih asin smoky nasi goreng bakso,Bakmiseafood99
Nasi Goreng Teri Medan,26600,Main Course,gurih asin umami nasi teri,Bakmiseafood99
Nasi Goreng Sapi,30000,Main Course,gurih asin smoky nasi goreng sapi,Bakmiseafood99
Nasi Goreng Pete,30000,Main Course,gurih asin khas pete nasi goreng,Bakmiseafood99
Nasi Goreng Telor,22000,Main Course,gurih asin savory nasi telur,Bakmiseafood99
Nasi Goreng Mawud,26600,Main Course,gurih asin manis nasi mie goreng,Bakmiseafood99
Mie goreng Special,30000,Main Course,gurih asin savory mie spesial,Bakmiseafood99
Mie goreng Seafood,30000,Main Course,gurih asin savory mie seafood,Bakmiseafood99
Mie goreng Kambing,30000,Main Course,gurih asin rempah mie kambing,Bakmiseafood99
Mie goreng Sapi,30000,Main Course,gurih asin savory mie sapi,Bakmiseafood99
Mie goreng Telor,23800,Main Course,gurih asin savory mie telur,Bakmiseafood99
Lo Mie,23000,Main Course,gurih asin kental mie kuah,Bakmiseafood99
Ifu Mie,28000,Main Course,gurih asin crispy mie kuah,Bakmiseafood99
Mie Masak Kuah,28000,Main Course,gurih asin hangat mie kuah,Bakmiseafood99
Mie Siram,28000,Main Course,gurih asin savory mie siram,Bakmiseafood99
Bihun goreng Special,30000,Main Course,gurih asin savory bihun spesial,Bakmiseafood99
Bihun goreng Seafood,30000,Main Course,gurih asin savory bihun seafood,Bakmiseafood99
Bihun goreng Kambing,30000,Main Course,gurih asin rempah bihun kambing,Bakmiseafood99
Bihun goreng Sapi,30000,Main Course,gurih asin savory bihun sapi,Bakmiseafood99
Bihun goreng Baso,23000,Main Course,gurih asin savory bihun bakso,Bakmiseafood99
Bihun goreng Telor,20000,Main Course,gurih asin savory bihun telur,Bakmiseafood99
Bihun Masak Kuah,23000,Main Course,gurih asin hangat bihun kuah,Bakmiseafood99
Bihun Siram,23000,Main Course,gurih asin savory bihun siram,Bakmiseafood99
Kwetiau goreng Telor,22000,Main Course,gurih asin smoky kwetiau telur,Bakmiseafood99
Kwietiau goreng Seafood,30000,Main Course,gurih asin savory kwetiau seafood,Bakmiseafood99
Kwietiau goreng Special,30000,Main Course,gurih asin smoky kwetiau spesial,Bakmiseafood99
Kwetiua goreng Sapi,30000,Main Course,gurih asin savory kwetiau sapi,Bakmiseafood99
Kwietiau goreng Kambing,30000,Main Course,gurih asin rempah kwetiau kambing,Bakmiseafood99
Kwetiau Masak Kuah,25000,Main Course,gurih asin hangat kwetiau kuah,Bakmiseafood99
Kwietiau Kuah Seafood,30000,Main Course,gurih asin savory kwetiau seafood kuah,Bakmiseafood99
Kwetiou Siram,23000,Main Course,gurih asin savory kwetiau siram,Bakmiseafood99
Kwetiou Siram Sapi,30000,Main Course,gurih asin savory kwetiau sapi siram,Bakmiseafood99
Ayam Sauce Tiram,37000,Main Course,gurih asin savory ayam saus tiram,Bakmiseafood99
Ayam Lada Hitam,37000,Main Course,gurih asin pedas lada hitam ayam,Bakmiseafood99
Ayam Sauce Padang,38000,Main Course,gurih asin pedas ayam saus padang,Bakmiseafood99
Ayam goreng Tepung,34000,Main Course,gurih asin crispy ayam tepung,Bakmiseafood99
Ayam Telor Asin,37000,Main Course,gurih asin creamy ayam telur asin,Bakmiseafood99
Ayam Jamur Kuah,34000,Main Course,gurih asin savory ayam jamur kuah,Bakmiseafood99
Ayam Kuluyuk,34000,Main Course,gurih asin asam manis ayam crispy,Bakmiseafood99
Ayam goreng Nanking,33000,Main Course,gurih asin manis ayam tepung,Bakmiseafood99
Ayam Cah Kembang Kol,33000,Main Course,gurih asin savory ayam kembang kol,Bakmiseafood99
Ayam Cah Caesim,33000,Main Course,gurih asin savory ayam caisim,Bakmiseafood99
Ayam Cah Pokcay,33000,Main Course,gurih asin savory ayam pokcay,Bakmiseafood99
Ayam Cah Cabe Ijo,33000,Main Course,gurih asin pedas ayam cabe ijo,Bakmiseafood99
Kerang Ijo Saus Tiram,35000,Main Course,gurih asin savory kerang saus tiram,Bakmiseafood99
Kerang Ijo Rica-rica,35000,Main Course,gurih asin pedas rempah kerang,Bakmiseafood99
Kerang Ijo Lada Hitam,35000,Main Course,gurih asin pedas lada hitam kerang,Bakmiseafood99
Kerang Ijo Asam Manis,35000,Main Course,gurih asin asam manis kerang,Bakmiseafood99
Kerang Ijo Rebus,32000,Main Course,gurih asin savory kerang rebus,Bakmiseafood99
Kerang Ijo Saos Mentega,32000,Main Course,gurih asin buttery kerang mentega,Bakmiseafood99
Kerang Dara Saus Padang,30000,Main Course,gurih asin pedas kerang saus padang,Bakmiseafood99
Kerang Dara Saus Tiram,30000,Main Course,gurih asin savory kerang saus tiram,Bakmiseafood99
Kerang Dara Asam Manis,30000,Main Course,gurih asin asam manis kerang,Bakmiseafood99
Kerang Dara Rica-Rica,30000,Main Course,gurih asin pedas rempah kerang,Bakmiseafood99
Kerang Dara Lada Hitam,30000,Main Course,gurih asin pedas lada hitam kerang,Bakmiseafood99
Kerang Dara gorengMentega,30000,Main Course,gurih asin buttery kerang goreng mentega,Bakmiseafood99
Kerang Dara Rebus,30000,Main Course,gurih asin savory kerang rebus,Bakmiseafood99
Cumi Saus Padang,37500,Main Course,gurih asin pedas cumi saus padang,Bakmiseafood99
Cumi goreng Mentega,37500,Main Course,gurih asin buttery cumi goreng,Bakmiseafood99
Cumi Telor Asin,36000,Main Course,gurih asin creamy cumi telur asin,Bakmiseafood99
Cumi goreng Tepung,36000,Main Course,gurih asin crispy cumi tepung,Bakmiseafood99
Cumi Cah Brokoli,30000,Main Course,gurih asin savory cumi brokoli,Bakmiseafood99
Cumi Saus Tiram,37500,Main Course,gurih asin savory cumi saus tiram,Bakmiseafood99
Cumi Lada Hitam,37500,Main Course,gurih asin pedas lada hitam cumi,Bakmiseafood99
Cumi Asam Manis,35000,Main Course,gurih asin asam manis cumi,Bakmiseafood99
Udang Sauce Padang,37000,Main Course,gurih asin pedas udang saus padang,Bakmiseafood99
Udang goreng Mentega,35000,Main Course,gurih asin buttery udang goreng,Bakmiseafood99
Udang Lada Hitam,37000,Main Course,gurih asin pedas lada hitam udang,Bakmiseafood99
Udang Telor Asin,35000,Main Course,gurih asin creamy udang telur asin,Bakmiseafood99
Udang Kuluyuk,35000,Main Course,gurih asin asam manis udang crispy,Bakmiseafood99
Udang Sauce Tiram,35000,Main Course,gurih asin savory udang saus tiram,Bakmiseafood99
Udang Cah Brokoli,30000,Main Course,gurih asin savory udang brokoli,Bakmiseafood99
Udang Cah Kembang Kol,30000,Main Course,gurih asin savory udang kembang kol,Bakmiseafood99
Udang goreng Tepung,35000,Main Course,gurih asin crispy udang tepung,Bakmiseafood99
Udang Cah Tauge,30000,Main Course,gurih asin savory udang tauge,Bakmiseafood99
Udang Cah Cabe Ijo,33000,Main Course,gurih asin pedas udang cabe ijo,Bakmiseafood99
Sapi Lada Hitam,35000,Main Course,gurih asin pedas lada hitam sapi,Bakmiseafood99
Sapi Telor Asin,35000,Main Course,gurih asin creamy sapi telur asin,Bakmiseafood99
Bistik Sapi,35000,Main Course,gurih asin manis savory bistik sapi,Bakmiseafood99
Sapi Cah Kembang Kol,34000,Main Course,gurih asin savory sapi kembang kol,Bakmiseafood99
Sapi Sauce Padang,35000,Main Course,gurih asin pedas sapi saus padang,Bakmiseafood99
Sapi goreng Nanking,30000,Main Course,gurih asin manis sapi tepung,Bakmiseafood99
Sapi Cah Caesim,33000,Main Course,gurih asin savory sapi caisim,Bakmiseafood99
Sapi Cah Pokcay,33000,Main Course,gurih asin savory sapi pokcay,Bakmiseafood99
Sapi Cah Cabe Ijo,35000,Main Course,gurih asin pedas sapi cabe ijo,Bakmiseafood99
Sapi Rica-rica,37000,Main Course,gurih asin pedas rempah sapi rica,Bakmiseafood99
Nila Goreng Kering,46000,Main Course,gurih asin crispy ikan nila,Bakmiseafood99
Nila Saus Padang,46000,Main Course,gurih asin pedas ikan nila,Bakmiseafood99
Nila Tahu Tausi,46000,Main Course,gurih asin fermentasi nila tausi,Bakmiseafood99
Nila gorengLada Hitam,46000,Main Course,gurih asin pedas lada hitam nila,Bakmiseafood99
Nila gorengRica-Rica,46000,Main Course,gurih asin pedas rempah nila,Bakmiseafood99
"Cumi,udang,jagung Saus Padang",71000,Main Course,gurih asin pedas seafood saus padang,Bakmiseafood99
"Kerang Dara,kerang Ijo,jagung Saus Padang",52000,Main Course,gurih asin pedas kerang saus padang,Bakmiseafood99
"Cumi,udang,kerang Dara,kerang Ijo, Jagung Saus Padang",109000,Main Course,gurih asin pedas seafood campur,Bakmiseafood99
"Kepiting,jagung",92000,Main Course,gurih asin savory kepiting jagung,Bakmiseafood99
Bistik Ayam,38000,Main Course,gurih asin manis savory bistik ayam,Bakmiseafood99
Bistik Udang,32000,Main Course,gurih asin manis savory bistik udang,Bakmiseafood99
Bistik Ikan,35000,Main Course,gurih asin manis savory bistik ikan,Bakmiseafood99
Bistik Cumi,32000,Main Course,gurih asin manis savory bistik cumi,Bakmiseafood99
Es Teler,20190,Dessert,manis creamy segar dingin buah santan,Es Sinar Garut
Es Campur Shanghai,20190,Dessert,manis segar dingin campur buah jelly,Es Sinar Garut
Es Sirop,10340,Beverage,manis segar dingin air kelapa sirup,Es Sinar Garut
Es Teler Moca,21440,Dessert,manis creamy dingin moka buah santan,Es Sinar Garut
Es Teler Keju,23940,Dessert,manis creamy gurih dingin buah keju,Es Sinar Garut
Es Campur Moca,21440,Beverage,manis creamy segar dingin moka campur,Es Sinar Garut
Es Alpukat Kerok,20190,Dessert,creamy manis dingin alpukat,Es Sinar Garut
Es Alpukat Kocok,20190,Beverage,creamy manis dingin alpukat susu,Es Sinar Garut
Es Alpukat Kelapa,21440,Dessert,creamy manis segar dingin alpukat kelapa,Es Sinar Garut
Es Alpukat Nangka,20190,Dessert,creamy manis fruity dingin alpukat nangka,Es Sinar Garut
Es Alpukat Keju,23940,Dessert,creamy manis gurih dingin alpukat keju,Es Sinar Garut
Es Kelapa Muda,15190,Beverage,manis segar dingin kelapa muda,Es Sinar Garut
Es Kelapa Nangka,20190,Beverage,manis segar fruity dingin kelapa nangka,Es Sinar Garut
Es Kelapa Susu,17690,Beverage,creamy manis segar dingin kelapa susu,Es Sinar Garut
Es Kelapa Moca Susu,20190,Beverage,creamy manis dingin moka kelapa susu,Es Sinar Garut
Es Kelapa Jeruk,21440,Beverage,manis asam segar dingin kelapa jeruk,Es Sinar Garut
Es Kelapa Jeruk Susu,23940,Beverage,creamy manis asam dingin kelapa jeruk susu,Es Sinar Garut
Es Kelapa Bulat,21440,Beverage,segar ringan dingin air kelapa,Es Sinar Garut
Es Kelapa Bulat Gula,21440,Beverage,manis segar dingin air kelapa gula,Es Sinar Garut
Es Jeruk,11440,Beverage,manis asam segar dingin jeruk,Es Sinar Garut
Es Jeruk Susu,17690,Beverage,creamy manis asam dingin jeruk susu,Es Sinar Garut
Es Sirop Susu,13940,Beverage,creamy manis dingin sirup susu,Es Sinar Garut
Es Sirop Moca Susu,13940,Beverage,creamy manis dingin moka sirup susu,Es Sinar Garut
Es Sirop Moca,11440,Beverage,manis creamy dingin sirup moka,Es Sinar Garut
Yamien,25500,Main Course,gurih asin manis savory mie ayam,Yamien 88
Yamien Baso,31000,Main Course,gurih asin savory mie bakso,Yamien 88
Yamien Pangsit,31000,Main Course,gurih asin savory mie pangsit,Yamien 88
Yamien Baso Pangsit,38000,Main Course,gurih asin savory mie bakso pangsit,Yamien 88
Mie Ayam,24000,Main Course,gurih asin manis savory mie ayam,Yamien 88
Mie Ayam Baso,30000,Main Course,gurih asin savory mie ayam bakso,Yamien 88
Mie Ayam Pangsit,30000,Main Course,gurih asin savory mie ayam pangsit,Yamien 88
Mie Ayam Baso Pangsit,35500,Main Course,gurih asin savory mie ayam bakso pangsit,Yamien 88
Es Jeli Leci,19500,Beverage,manis segar dingin leci jelly,Yamien 88
Jus Alpukat,22000,Beverage,creamy manis dingin alpukat,Yamien 88
Es Jeruk,18500,Beverage,manis asam segar dingin jeruk,Yamien 88
Es Sarang Burung,19500,Beverage,manis segar dingin sarang burung,Yamien 88
Es Serabut Merah,19500,Beverage,manis segar dingin sirup merah,Yamien 88
Jus Straberry,19500,Beverage,manis asam segar dingin stroberi,Yamien 88
Moccacino Shake,19500,Beverage,manis creamy dingin moka kopi,Yamien 88
Capuccino Shake,19500,Beverage,creamy manis dingin cappuccino,Yamien 88
Es Capuccino,18500,Beverage,creamy pahit manis dingin kopi,Yamien 88
Straberry Sparkling Tea,21000,Beverage,asam manis soda segar teh stroberi,Yamien 88
Soda Gembira Fanta,21000,Beverage,manis creamy soda segar fanta,Yamien 88
Soda Gembira Sprite,21000,Beverage,manis creamy soda segar sprite,Yamien 88
Soda Gembira Cola,21000,Beverage,manis creamy soda segar cola,Yamien 88
Ayam Goreng Mentega,54500,Main Course,gurih asin manis buttery ayam goreng,Yamien 88
Ayam Goreng Kering,54500,Main Course,gurih asin crispy ayam goreng,Yamien 88
Ayam Goreng Saos Padang,54500,Main Course,gurih asin pedas savory ayam saus padang,Yamien 88
Ayam Goreng Saos Tiram,52000,Main Course,gurih asin savory ayam saus tiram,Yamien 88
Capcay Goreng,48500,Main Course,gurih asin savory sayur tumis,Yamien 88
Capcay Kuah,48500,Main Course,gurih asin hangat sayur kuah,Yamien 88
Sapo Tahu Seafood,72500,Main Course,gurih asin savory seafood tahu kuah,Yamien 88
Kerang Hijau Rebus,27500,Main Course,gurih asin savory kerang rebus,Yamien 88
Kerang Hijau Saus Padang,39000,Main Course,gurih asin pedas kerang saus padang,Yamien 88
Kerang Hijau Saus Tiram,39000,Main Course,gurih asin savory kerang saus tiram,Yamien 88
Kerang Hijau Cah Tauco,39000,Main Course,gurih asin fermentasi kerang tauco,Yamien 88
Kerang Dara Rebus,38000,Main Course,gurih asin savory kerang rebus,Yamien 88
Kerang Dara Saus Padang,52000,Main Course,gurih asin pedas kerang saus padang,Yamien 88
Kerang Dara Saus Tiram,52000,Main Course,gurih asin savory kerang saus tiram,Yamien 88
Kerang Dara Cah Tauco,52000,Main Course,gurih asin fermentasi kerang tauco,Yamien 88
Cumi Goreng Mentega,65000,Main Course,gurih asin buttery cumi goreng,Yamien 88
Cumi Goreng Kering,65000,Main Course,gurih asin crispy cumi goreng,Yamien 88
Cumi Goreng Tepung,59000,Main Course,gurih asin crispy cumi tepung,Yamien 88
Cumi Saus Padang,65000,Main Course,gurih asin pedas cumi saus padang,Yamien 88
Cumi Saus Tiram,65000,Main Course,gurih asin savory cumi saus tiram,Yamien 88
Cumi Asam Manis,65000,Main Course,gurih asin asam manis cumi,Yamien 88
Cumi Lada Hitam,65000,Main Course,gurih asin pedas lada hitam cumi,Yamien 88
Udang Goreng Mentega,55500,Main Course,gurih asin buttery udang goreng,Yamien 88
Udang Goreng Kering,55500,Main Course,gurih asin crispy udang goreng,Yamien 88
Udang Goreng Tepung,55500,Main Course,gurih asin crispy udang tepung,Yamien 88
Udang Saus Padang,55500,Main Course,gurih asin pedas udang saus padang,Yamien 88
Udang Saus Tiram,55500,Main Course,gurih asin savory udang saus tiram,Yamien 88
Udang Asam Manis,55500,Main Course,gurih asin asam manis udang,Yamien 88
Udang Lada Hitam,55500,Main Course,gurih asin pedas lada hitam udang,Yamien 88
Udang Mayonise,55500,Main Course,gurih asin creamy manis udang mayo,Yamien 88
Udang Rebus,52000,Main Course,gurih asin savory udang rebus,Yamien 88
Ayam Goreng Asam Manis,61500,Main Course,gurih asin asam manis ayam,Yamien 88
Ayam Goreng Lada Hitam,54500,Main Course,gurih asin pedas lada hitam ayam,Yamien 88
Ayam Nanking,61500,Main Course,gurih asin manis savory ayam tepung,Yamien 88
Ayam Rica Rica,54500,Main Course,gurih asin pedas rempah ayam rica,Yamien 88
Ayam Kecap,54500,Main Course,gurih asin manis ayam kecap,Yamien 88
Sapi Goreng Mentega,74500,Main Course,gurih asin buttery sapi goreng,Yamien 88
Sapi Goreng Kering,74500,Main Course,gurih asin crispy sapi goreng,Yamien 88
Sapi Saus Padang,74500,Main Course,gurih asin pedas sapi saus padang,Yamien 88
Sapi Saus Tiram,74500,Main Course,gurih asin savory sapi saus tiram,Yamien 88
Sapi Asam Manis,74500,Main Course,gurih asin asam manis sapi,Yamien 88
Sapi Lada Hitam,74500,Main Course,gurih asin pedas lada hitam sapi,Yamien 88
Bistik Sapi,74500,Main Course,gurih asin manis savory bistik sapi,Yamien 88
Bistik Udang,68500,Main Course,gurih asin manis savory bistik udang,Yamien 88
Bistik Ayam,68500,Main Course,gurih asin manis savory bistik ayam,Yamien 88
Bistik Cumi,74500,Main Course,gurih asin manis savory bistik cumi,Yamien 88
Bihun Goreng,36500,Main Course,gurih asin savory bihun goreng,Yamien 88
Bihun Goreng Special,43500,Main Course,gurih asin savory bihun spesial,Yamien 88
Bihun Goreng Seafood,43500,Main Course,gurih asin savory bihun seafood,Yamien 88
Bihun Goreng Ayam,43500,Main Course,gurih asin savory bihun ayam,Yamien 88
Kwetiau Goreng Special,43500,Main Course,gurih asin smoky kwetiau spesial,Yamien 88
Kwetiau Goreng Seafood,43500,Main Course,gurih asin savory kwetiau seafood,Yamien 88
Kwetiau Goreng Ayam,43500,Main Course,gurih asin savory kwetiau ayam,Yamien 88
Kwetiau Siram,48500,Main Course,gurih asin savory kwetiau kuah,Yamien 88
Kwetiau Siram Sapi,58000,Main Course,gurih asin savory kwetiau sapi,Yamien 88
Kwetiau Siram Seafood,50500,Main Course,gurih asin savory kwetiau seafood,Yamien 88
Bakmie Goreng,36500,Main Course,gurih asin savory bakmie goreng,Yamien 88
Bakmie Goreng Special,43500,Main Course,gurih asin savory bakmie spesial,Yamien 88
Bakmie Goreng Seafood,43500,Main Course,gurih asin savory bakmie seafood,Yamien 88
Mie Solo,43500,Main Course,gurih asin manis savory mie solo,Yamien 88
Mie Kangkung,43500,Main Course,gurih asin savory mie kangkung,Yamien 88
Mie Goreng Ayam,43500,Main Course,gurih asin savory mie ayam goreng,Yamien 88
Gurame Bakar (Sedang),125000,Main Course,gurih asin manis smoky gurame bakar,Yamien 88
Sapo Tahu Ayam,72500,Main Course,gurih asin savory ayam tahu kuah,Yamien 88
Sapi Hotplate,72500,Main Course,gurih asin savory sapi hotplate,Yamien 88
Seafood Hotplate,60000,Main Course,gurih asin savory seafood hotplate,Yamien 88
Ayam Hotplate,56500,Main Course,gurih asin savory ayam hotplate,Yamien 88
Udang Hotplate,60000,Main Course,gurih asin savory udang hotplate,Yamien 88
Tahu Hotplate,53000,Main Course,gurih asin savory tahu hotplate,Yamien 88
Nasi Ayam Cah Jamur,43500,Main Course,gurih asin savory ayam jamur,Yamien 88
Nasi Capcay,43500,Main Course,gurih asin savory nasi capcay,Yamien 88
Nasi Goreng,36500,Main Course,gurih asin smoky nasi goreng,Yamien 88
Nasi Goreng Special,43500,Main Course,gurih asin smoky nasi goreng spesial,Yamien 88
Nasi Goreng Seafood,43500,Main Course,gurih asin savory nasi goreng seafood,Yamien 88
Nasi Goreng Ayam,43500,Main Course,gurih asin savory nasi goreng ayam,Yamien 88
Nasi Goreng Sosis,43500,Main Course,gurih asin smoky nasi goreng sosis,Yamien 88
Fuyunghai,50500,Main Course,gurih asin manis telur fuyunghai,Yamien 88
Fuyunghai Ayam,50500,Main Course,gurih asin manis telur ayam fuyunghai,Yamien 88
Ifumie,47000,Main Course,gurih asin crispy mie kuah,Yamien 88
Ifumie Ayam,45000,Main Course,gurih asin crispy mie ayam kuah,Yamien 88
Capcay Goreng Ayam,48500,Main Course,gurih asin savory capcay ayam,Yamien 88
Capcay Kuah Ayam,48500,Main Course,gurih asin hangat capcay ayam kuah,Yamien 88
Kangkung Hotplate Sapi,62000,Main Course,gurih asin savory kangkung sapi,Yamien 88
Kangkung Hotplate Udang,56000,Main Course,gurih asin savory kangkung udang,Yamien 88
Kangkung Hotplate Seafood,56000,Main Course,gurih asin savory kangkung seafood,Yamien 88
Kangkung Hotplate Ayam,56000,Main Course,gurih asin savory kangkung ayam,Yamien 88
Kangkung Hotplate Polos,45000,Main Course,gurih asin savory kangkung hotplate,Yamien 88
